1 : 217MIHA-046 size: (62.75, 'MB')
2 : alad00011 size: (55.16, 'MB')
3 : BAK046 size: (93.61, 'MB')
4 : CMV-146 size: (115.47, 'MB')
5 : dksb00078a size: (4.44, 'MB')
6 : DVDMS576 size: (83.75, 'MB')
7 : HUNBL-012 size: (115.47, 'MB')
8 : HUNTA-845 size: (115.47, 'MB')
9 : KAGP-158- size: (20.27, 'MB')
10 : MEAT-023 size: (115.47, 'MB')
11 : OFJE264 size: (55.55, 'MB')
12 : sdjs-078 size: (62.75, 'MB')
13 : sdjs-083 size: (62.75, 'MB')
done
