start
orginal_choose: G:\My Drive\Video\Torrent_F\有码
root_to_compare: G:\Shared drives\Migration\Torrent_F\有码
root_to_remove: G:\Shared drives\Migration\To remove
root_to_remove1: G:\Shared drives\Migration\To remove1
99 : SW-349 (3.06, 'GB') < (4.05, 'GB')
100 : SW-658 (1.78, 'GB') < (10.34, 'GB')
101 : TEK-079 (6.05, 'GB') < (12.48, 'GB')
102 : TEK-080 (2.06, 'GB') < (6.74, 'GB')
103 : TEK-083 (5.38, 'GB') < (11.94, 'GB')
104 : TEK-072 (1.37, 'GB') < (6.9, 'GB')
105 : TEK-071 (4.08, 'GB') < (11.61, 'GB')
106 : TEK-076 (6.31, 'GB') < (13.24, 'GB')
107 : IPTD-743 (3.5, 'GB') < (6.71, 'GB')
108 : IPTD-721 (1.99, 'GB') < (7.69, 'GB')
109 : IPTD-679 (5.83, 'GB') < (7.51, 'GB')
110 : IPTD-512 (6.43, 'GB') < (6.81, 'GB')
111 : IPTD-542 (6.14, 'GB') < (6.51, 'GB')
112 : IPTD-850 (4.72, 'GB') < (6.9, 'GB')
113 : IPTD-883 (4.97, 'GB') < (7.59, 'GB')
114 : IPTD-964 (3.98, 'GB') < (6.28, 'GB')
115 : IPTD-999 (4.06, 'GB') < (6.91, 'GB')
116 : IPTD-971 (2.54, 'GB') < (6.79, 'GB')
117 : IPTD-757 (2.17, 'GB') < (5.03, 'GB')
118 : IPTD-514 (1.14, 'GB') < (6.47, 'GB')
119 : IPTD-521 (1.67, 'GB') < (6.89, 'GB')
120 : IPTD-944 (3.1, 'GB') < (13.81, 'GB')
121 : IPTD-729 (5.61, 'GB') < (7.27, 'GB')
122 : IPTD-935 (7.05, 'GB') < (7.5, 'GB')
123 : IPTD-736 (5.07, 'GB') < (7.62, 'GB')
124 : IPTD-902 (4.67, 'GB') < (4.97, 'GB')
125 : IPTD-836 (5.71, 'GB') < (7.67, 'GB')
126 : IPTD-500 (884.0, 'MB') < (5.05, 'GB')
127 : IPTD-889 (4.38, 'GB') < (6.51, 'GB')
128 : IPTD-849 (5.7, 'GB') < (8.62, 'GB')
129 : IPTD-601 (6.66, 'GB') < (7.22, 'GB')
130 : IPTD-517 (1.77, 'GB') < (7.43, 'GB')
131 : IPTD-804 (2.02, 'GB') < (6.68, 'GB')
132 : BID-027 (4.02, 'GB') < (6.25, 'GB')
133 : MIAD-632 (1.41, 'GB') < (5.03, 'GB')
134 : MIAD-575 (2.63, 'GB') < (5.03, 'GB')
135 : MIAD-491 (982.23, 'MB') < (4.9, 'GB')
136 : MIAD-722 (2.71, 'GB') < (6.57, 'GB')
137 : MIAD-498 (990.22, 'MB') < (4.98, 'GB')
138 : MIAD-602 (408.97, 'MB') < (4.96, 'GB')
139 : JUY-572 (3.49, 'GB') < (5.42, 'GB')
140 : JUY-748 (1.22, 'GB') < (3.14, 'GB')
141 : JUY-952 (4.67, 'GB') < (4.95, 'GB')
142 : JUY-536 (4.05, 'GB') < (6.5, 'GB')
143 : JUY-872 (3.46, 'GB') < (4.93, 'GB')
144 : JUY-846 (4.6, 'GB') < (4.89, 'GB')
145 : JUY-900 (1.17, 'GB') < (6.34, 'GB')
146 : JUY-858 (4.65, 'GB') < (4.93, 'GB')
147 : JUY-780 (908.92, 'MB') < (3.07, 'GB')
148 : JUY-087 (4.72, 'GB') < (4.97, 'GB')
149 : JUY-670 (3.43, 'GB') < (3.5, 'GB')
150 : JUY-299 (1.04, 'GB') < (3.51, 'GB')
151 : JUY-945 (1.29, 'GB') < (3.03, 'GB')
152 : JUY-965 (819.77, 'MB') < (3.05, 'GB')
153 : JUY-813 (4.59, 'GB') < (4.87, 'GB')
154 : JUY-667 (2.23, 'GB') < (4.04, 'GB')
155 : JUY-902 (4.54, 'GB') < (4.83, 'GB')
156 : JUFD-467 (6.5, 'GB') < (10.78, 'GB')
157 : JUFD-738 (2.17, 'GB') < (4.26, 'GB')
158 : JUFD-311 (2.51, 'GB') < (7.24, 'GB')
159 : JUFD-500 (4.39, 'GB') < (8.07, 'GB')
160 : JUFD-869 (7.11, 'GB') < (13.74, 'GB')
161 : FSDSS-020 (4.95, 'GB') < (5.17, 'GB')
162 : FSDSS-014 (1.13, 'GB') < (3.09, 'GB')
163 : SDNM-067 (8.14, 'GB') < (16.27, 'GB')
164 : SDNM-236 (3.39, 'GB') < (5.58, 'GB')
165 : SDNM-061 (2.17, 'GB') < (9.09, 'GB')
166 : SDNM-097 (5.52, 'GB') < (11.25, 'GB')
167 : FINH-036 (1.45, 'GB') < (4.5, 'GB')
168 : JUFE-041 (1.16, 'GB') < (3.5, 'GB')
169 : JUFE-014 (2.84, 'GB') < (4.03, 'GB')
170 : JUFE-130 (6.01, 'GB') < (6.14, 'GB')
171 : JUFE-124 (6.01, 'GB') < (6.24, 'GB')
172 : JUFE-101 (5.92, 'GB') < (6.23, 'GB')
173 : JUFE-161 (6.14, 'GB') < (6.36, 'GB')
174 : JUFE-090 (3.8, 'GB') < (4.39, 'GB')
175 : JUFE-067 (679.34, 'MB') < (6.38, 'GB')
176 : JUFE-038 (1.65, 'GB') < (5.02, 'GB')
177 : JUFE-009 (5.65, 'GB') < (5.93, 'GB')
178 : JUFE-031 (6.06, 'GB') < (12.05, 'GB')
179 : BLK-368 (539.99, 'MB') < (2.99, 'GB')
180 : BLK-314 (1.89, 'GB') < (6.07, 'GB')
181 : BLK-451 (3.81, 'GB') < (6.02, 'GB')
182 : BLK-448 (2.99, 'GB') < (4.93, 'GB')
183 : BLK-452 (3.9, 'GB') < (5.74, 'GB')
184 : BLK-453 (3.06, 'GB') < (4.94, 'GB')
185 : BLK-317 (1.19, 'GB') < (3.41, 'GB')
186 : BLK-380 (3.51, 'GB') < (4.97, 'GB')
187 : AIMA-001 (4.24, 'GB') < (6.98, 'GB')
188 : APNS-059 (5.08, 'GB') < (5.5, 'GB')
189 : APNS-165 (5.58, 'GB') < (5.66, 'GB')
190 : APNS-084 (4.98, 'GB') < (5.55, 'GB')
191 : APNS-129 (4.42, 'GB') < (4.49, 'GB')
192 : AVOP-117 (2.3, 'GB') < (10.02, 'GB')
193 : AVOP-004 (1.53, 'GB') < (7.46, 'GB')
194 : AVOP-304 (3.89, 'GB') < (7.87, 'GB')
195 : AVOP-205 (2.31, 'GB') < (8.43, 'GB')
196 : AVOP-065 (7.08, 'GB') < (7.51, 'GB')
197 : AVOP-442 (5.18, 'GB') < (5.35, 'GB')
198 : AVOP-166 (1.4, 'GB') < (6.22, 'GB')
199 : AVOP-221 (1.49, 'GB') < (6.29, 'GB')
200 : AVOP-212 (1.96, 'GB') < (7.09, 'GB')
201 : AVOP-060 (1.13, 'GB') < (5.49, 'GB')
202 : AVOP-201 (6.87, 'GB') < (7.54, 'GB')
203 : AVOP-127 (1.81, 'GB') < (6.32, 'GB')
204 : AVOP-126 (5.8, 'GB') < (11.59, 'GB')
205 : AVOP-301 (7.0, 'GB') < (9.43, 'GB')
206 : MIAA-158 (4.73, 'GB') < (4.97, 'GB')
207 : MIAA-114 (5.84, 'GB') < (6.19, 'GB')
208 : MIAA-256 (3.57, 'GB') < (4.91, 'GB')
209 : MIAA-251 (6.36, 'GB') < (6.45, 'GB')
210 : MIAA-092 (4.65, 'GB') < (4.94, 'GB')
211 : MIAA-086 (4.72, 'GB') < (5.02, 'GB')
212 : MIAA-228 (4.84, 'GB') < (6.24, 'GB')
213 : MIAA-041 (4.72, 'GB') < (9.99, 'GB')
214 : MIAA-079 (4.55, 'GB') < (4.84, 'GB')
215 : MIAA-268 (5.87, 'GB') < (6.13, 'GB')
216 : MIAA-143 (4.72, 'GB') < (4.96, 'GB')
217 : MIAA-129 (4.68, 'GB') < (4.96, 'GB')
218 : MIAA-173 (4.79, 'GB') < (5.03, 'GB')
219 : MIAA-084 (5.91, 'GB') < (6.25, 'GB')
220 : MIAA-059 (5.84, 'GB') < (10.2, 'GB')
221 : MIAA-156 (4.72, 'GB') < (4.95, 'GB')
222 : MIAA-035 (4.68, 'GB') < (4.96, 'GB')
223 : MIAA-161 (4.78, 'GB') < (5.0, 'GB')
224 : MIAA-120 (4.65, 'GB') < (4.94, 'GB')
225 : MIAA-052 (6.61, 'GB') < (11.54, 'GB')
226 : MIAA-076 (4.54, 'GB') < (9.61, 'GB')
227 : MIAA-102 (4.85, 'GB') < (5.06, 'GB')
228 : MIAA-058 (4.67, 'GB') < (8.15, 'GB')
229 : MIAA-155 (6.06, 'GB') < (6.37, 'GB')
230 : MIAA-037 (4.64, 'GB') < (9.58, 'GB')
231 : MIAA-177 (4.6, 'GB') < (4.82, 'GB')
232 : MIAA-033 (4.69, 'GB') < (4.96, 'GB')
233 : MIAA-130 (4.67, 'GB') < (4.96, 'GB')
234 : MIAA-261 (3.03, 'GB') < (5.13, 'GB')
